model_feature,parent_feature,feature_group,human_readable_description
ddl_filing_judge_id_352.0,ddl_filing_judge_id,Judge,Filing judge identifier
case_type_str_mp,case_type_str,Basic Case,Standardized case type string
case_type_str_execution,case_type_str,Basic Case,Standardized case type string
case_type_str_motor vehicle  act,case_type_str,Basic Case,Standardized case type string
type_name_3324,type_name,Basic Case,Granular case type name identifier
type_name_3780,type_name,Basic Case,Granular case type name identifier
type_name_3783,type_name,Basic Case,Granular case type name identifier
type_name_3785,type_name,Basic Case,Granular case type name identifier
type_name_3792,type_name,Basic Case,Granular case type name identifier
type_name_3810,type_name,Basic Case,Granular case type name identifier
type_name_3881,type_name,Basic Case,Granular case type name identifier
type_name_3941,type_name,Basic Case,Granular case type name identifier
type_name_3952,type_name,Basic Case,Granular case type name identifier
type_name_3955,type_name,Basic Case,Granular case type name identifier
type_name_3957,type_name,Basic Case,Granular case type name identifier
type_name_3974,type_name,Basic Case,Granular case type name identifier
type_name_4027,type_name,Basic Case,Granular case type name identifier
type_name_4043,type_name,Basic Case,Granular case type name identifier
type_name_4120,type_name,Basic Case,Granular case type name identifier
type_name_4130,type_name,Basic Case,Granular case type name identifier
type_name_3711,type_name,Basic Case,Granular case type name identifier
type_name_3710,type_name,Basic Case,Granular case type name identifier
type_name_3698,type_name,Basic Case,Granular case type name identifier
type_name_3472,type_name,Basic Case,Granular case type name identifier
type_name_3375,type_name,Basic Case,Granular case type name identifier
type_name_3377,type_name,Basic Case,Granular case type name identifier
type_name_3383,type_name,Basic Case,Granular case type name identifier
type_name_3414,type_name,Basic Case,Granular case type name identifier
type_name_3433,type_name,Basic Case,Granular case type name identifier
type_name_3434,type_name,Basic Case,Granular case type name identifier
type_name_3483,type_name,Basic Case,Granular case type name identifier
type_name_3696,type_name,Basic Case,Granular case type name identifier
type_name_3490,type_name,Basic Case,Granular case type name identifier
type_name_3530,type_name,Basic Case,Granular case type name identifier
type_name_3569,type_name,Basic Case,Granular case type name identifier
type_name_3575,type_name,Basic Case,Granular case type name identifier
type_name_3634,type_name,Basic Case,Granular case type name identifier
type_name_3670,type_name,Basic Case,Granular case type name identifier
type_name_4298,type_name,Basic Case,Granular case type name identifier
type_name_4299,type_name,Basic Case,Granular case type name identifier
type_name_4306,type_name,Basic Case,Granular case type name identifier
type_name_5089,type_name,Basic Case,Granular case type name identifier
type_name_4873,type_name,Basic Case,Granular case type name identifier
type_name_4903,type_name,Basic Case,Granular case type name identifier
type_name_4904,type_name,Basic Case,Granular case type name identifier
type_name_4938,type_name,Basic Case,Granular case type name identifier
type_name_4942,type_name,Basic Case,Granular case type name identifier
type_name_4968,type_name,Basic Case,Granular case type name identifier
type_name_5090,type_name,Basic Case,Granular case type name identifier
type_name_4828,type_name,Basic Case,Granular case type name identifier
type_name_5174,type_name,Basic Case,Granular case type name identifier
type_name_5183,type_name,Basic Case,Granular case type name identifier
type_name_5208,type_name,Basic Case,Granular case type name identifier
type_name_5212,type_name,Basic Case,Granular case type name identifier
type_name_5251,type_name,Basic Case,Granular case type name identifier
type_name_5252,type_name,Basic Case,Granular case type name identifier
type_name_4831,type_name,Basic Case,Granular case type name identifier
type_name_479,type_name,Basic Case,Granular case type name identifier
type_name_4427,type_name,Basic Case,Granular case type name identifier
type_name_4612,type_name,Basic Case,Granular case type name identifier
type_name_4434,type_name,Basic Case,Granular case type name identifier
type_name_448,type_name,Basic Case,Granular case type name identifier
type_name_4518,type_name,Basic Case,Granular case type name identifier
type_name_4570,type_name,Basic Case,Granular case type name identifier
type_name_4607,type_name,Basic Case,Granular case type name identifier
type_name_4609,type_name,Basic Case,Granular case type name identifier
type_name_4630,type_name,Basic Case,Granular case type name identifier
type_name_4784,type_name,Basic Case,Granular case type name identifier
type_name_4635,type_name,Basic Case,Granular case type name identifier
type_name_4674,type_name,Basic Case,Granular case type name identifier
type_name_4675,type_name,Basic Case,Granular case type name identifier
type_name_4703,type_name,Basic Case,Granular case type name identifier
type_name_4721,type_name,Basic Case,Granular case type name identifier
type_name_4725,type_name,Basic Case,Granular case type name identifier
type_name_3369,type_name,Basic Case,Granular case type name identifier
type_name_3323,type_name,Basic Case,Granular case type name identifier
type_name_5288,type_name,Basic Case,Granular case type name identifier
type_name_3322,type_name,Basic Case,Granular case type name identifier
type_name_1676,type_name,Basic Case,Granular case type name identifier
type_name_1678,type_name,Basic Case,Granular case type name identifier
type_name_1704,type_name,Basic Case,Granular case type name identifier
type_name_1736,type_name,Basic Case,Granular case type name identifier
type_name_1844,type_name,Basic Case,Granular case type name identifier
type_name_1845,type_name,Basic Case,Granular case type name identifier
type_name_1857,type_name,Basic Case,Granular case type name identifier
type_name_1864,type_name,Basic Case,Granular case type name identifier
type_name_1869,type_name,Basic Case,Granular case type name identifier
type_name_1903,type_name,Basic Case,Granular case type name identifier
type_name_1904,type_name,Basic Case,Granular case type name identifier
type_name_1905,type_name,Basic Case,Granular case type name identifier
type_name_1913,type_name,Basic Case,Granular case type name identifier
type_name_1914,type_name,Basic Case,Granular case type name identifier
type_name_1916,type_name,Basic Case,Granular case type name identifier
type_name_1645,type_name,Basic Case,Granular case type name identifier
type_name_1633,type_name,Basic Case,Granular case type name identifier
type_name_1590,type_name,Basic Case,Granular case type name identifier
type_name_1217,type_name,Basic Case,Granular case type name identifier
filing_quarter,filing_quarter,Basic Case,Quarter of case filing
type_name_1000,type_name,Basic Case,Granular case type name identifier
type_name_1068,type_name,Basic Case,Granular case type name identifier
type_name_1101,type_name,Basic Case,Granular case type name identifier
type_name_1105,type_name,Basic Case,Granular case type name identifier
type_name_1212,type_name,Basic Case,Granular case type name identifier
type_name_1228,type_name,Basic Case,Granular case type name identifier
type_name_1447,type_name,Basic Case,Granular case type name identifier
type_name_1247,type_name,Basic Case,Granular case type name identifier
type_name_1250,type_name,Basic Case,Granular case type name identifier
type_name_1259,type_name,Basic Case,Granular case type name identifier
type_name_1425,type_name,Basic Case,Granular case type name identifier
type_name_1426,type_name,Basic Case,Granular case type name identifier
type_name_1435,type_name,Basic Case,Granular case type name identifier
type_name_1917,type_name,Basic Case,Granular case type name identifier
type_name_1928,type_name,Basic Case,Granular case type name identifier
type_name_1936,type_name,Basic Case,Granular case type name identifier
type_name_3202,type_name,Basic Case,Granular case type name identifier
type_name_2838,type_name,Basic Case,Granular case type name identifier
type_name_2843,type_name,Basic Case,Granular case type name identifier
type_name_2879,type_name,Basic Case,Granular case type name identifier
type_name_2881,type_name,Basic Case,Granular case type name identifier
type_name_3001,type_name,Basic Case,Granular case type name identifier
type_name_3120,type_name,Basic Case,Granular case type name identifier
type_name_3221,type_name,Basic Case,Granular case type name identifier
type_name_2805,type_name,Basic Case,Granular case type name identifier
type_name_3228,type_name,Basic Case,Granular case type name identifier
type_name_3257,type_name,Basic Case,Granular case type name identifier
type_name_3262,type_name,Basic Case,Granular case type name identifier
type_name_3263,type_name,Basic Case,Granular case type name identifier
type_name_3291,type_name,Basic Case,Granular case type name identifier
type_name_3292,type_name,Basic Case,Granular case type name identifier
type_name_2832,type_name,Basic Case,Granular case type name identifier
type_name_2706,type_name,Basic Case,Granular case type name identifier
type_name_1999,type_name,Basic Case,Granular case type name identifier
type_name_2397,type_name,Basic Case,Granular case type name identifier
type_name_2113,type_name,Basic Case,Granular case type name identifier
type_name_2116,type_name,Basic Case,Granular case type name identifier
type_name_2182,type_name,Basic Case,Granular case type name identifier
type_name_2191,type_name,Basic Case,Granular case type name identifier
type_name_2297,type_name,Basic Case,Granular case type name identifier
type_name_2326,type_name,Basic Case,Granular case type name identifier
type_name_2411,type_name,Basic Case,Granular case type name identifier
type_name_2595,type_name,Basic Case,Granular case type name identifier
type_name_2455,type_name,Basic Case,Granular case type name identifier
type_name_2465,type_name,Basic Case,Granular case type name identifier
type_name_2526,type_name,Basic Case,Granular case type name identifier
type_name_2536,type_name,Basic Case,Granular case type name identifier
type_name_2537,type_name,Basic Case,Granular case type name identifier
type_name_2544,type_name,Basic Case,Granular case type name identifier
type_name_5263,type_name,Basic Case,Granular case type name identifier
type_name_5290,type_name,Basic Case,Granular case type name identifier
case_type_str_money suit,case_type_str,Basic Case,Standardized case type string
case_type_str_cr cases,case_type_str,Basic Case,Standardized case type string
case_type_str_elec,case_type_str,Basic Case,Standardized case type string
case_type_str_elec.petn.,case_type_str,Basic Case,Standardized case type string
case_type_str_election appeal,case_type_str,Basic Case,Standardized case type string
case_type_str_ex a,case_type_str,Basic Case,Standardized case type string
case_type_str_ex civil,case_type_str,Basic Case,Standardized case type string
case_type_str_execution petition,case_type_str,Basic Case,Standardized case type string
case_type_str_f.c.o.p,case_type_str,Basic Case,Standardized case type string
case_type_str_fda,case_type_str,Basic Case,Standardized case type string
case_type_str_final decree,case_type_str,Basic Case,Standardized case type string
case_type_str_fr,case_type_str,Basic Case,Standardized case type string
case_type_str_g. r. cases(n),case_type_str,Basic Case,Standardized case type string
case_type_str_g.r,case_type_str,Basic Case,Standardized case type string
case_type_str_gr case,case_type_str,Basic Case,Standardized case type string
case_type_str_gr.pocso,case_type_str,Basic Case,Standardized case type string
case_type_str_hindu marriage act,case_type_str,Basic Case,Standardized case type string
case_type_str_ec-f,case_type_str,Basic Case,Standardized case type string
case_type_str_dvc,case_type_str,Basic Case,Standardized case type string
case_type_str_domestic violence act.,case_type_str,Basic Case,Standardized case type string
case_type_str_crl. case,case_type_str,Basic Case,Standardized case type string
case_type_str_cra,case_type_str,Basic Case,Standardized case type string
case_type_str_cri case,case_type_str,Basic Case,Standardized case type string
"case_type_str_cri. case, sadar",case_type_str,Basic Case,Standardized case type string
case_type_str_cri.case,case_type_str,Basic Case,Standardized case type string
case_type_str_criminal case,case_type_str,Basic Case,Standardized case type string
case_type_str_crl .misc.,case_type_str,Basic Case,Standardized case type string
case_type_str_crl.misc.,case_type_str,Basic Case,Standardized case type string
case_type_str_declarative suits,case_type_str,Basic Case,Standardized case type string
case_type_str_crl.r.p.,case_type_str,Basic Case,Standardized case type string
case_type_str_crl.t.,case_type_str,Basic Case,Standardized case type string
case_type_str_crlrp,case_type_str,Basic Case,Standardized case type string
case_type_str_cro,case_type_str,Basic Case,Standardized case type string
case_type_str_crra,case_type_str,Basic Case,Standardized case type string
case_type_str_cs dj,case_type_str,Basic Case,Standardized case type string
case_type_str_hindu marriage case,case_type_str,Basic Case,Standardized case type string
case_type_str_hma,case_type_str,Basic Case,Standardized case type string
case_type_str_hmp,case_type_str,Basic Case,Standardized case type string
case_type_str_misc crl case,case_type_str,Basic Case,Standardized case type string
case_type_str_maintenance 125 crpc etc,case_type_str,Basic Case,Standardized case type string
case_type_str_mcc ulp,case_type_str,Basic Case,Standardized case type string
case_type_str_mcop,case_type_str,Basic Case,Standardized case type string
case_type_str_mex,case_type_str,Basic Case,Standardized case type string
case_type_str_misc,case_type_str,Basic Case,Standardized case type string
case_type_str_misc civil case,case_type_str,Basic Case,Standardized case type string
case_type_str_misc judicial case,case_type_str,Basic Case,Standardized case type string
case_type_str_mact(injure,case_type_str,Basic Case,Standardized case type string
case_type_str_misc. appeal,case_type_str,Basic Case,Standardized case type string
case_type_str_misc. case,case_type_str,Basic Case,Standardized case type string
case_type_str_misc. cases,case_type_str,Basic Case,Standardized case type string
case_type_str_misc. execution case,case_type_str,Basic Case,Standardized case type string
case_type_str_misc.criminal cases,case_type_str,Basic Case,Standardized case type string
case_type_str_mjc gw,case_type_str,Basic Case,Standardized case type string
case_type_str_maintenance,case_type_str,Basic Case,Standardized case type string
case_type_str_mact claim case,case_type_str,Basic Case,Standardized case type string
case_type_str_idact of s10 1d,case_type_str,Basic Case,Standardized case type string
case_type_str_l.a.c.,case_type_str,Basic Case,Standardized case type string
case_type_str_indian penal code (ipc),case_type_str,Basic Case,Standardized case type string
case_type_str_injunction o-39  r1  2,case_type_str,Basic Case,Standardized case type string
case_type_str_jda appeal,case_type_str,Basic Case,Standardized case type string
case_type_str_judl (misc),case_type_str,Basic Case,Standardized case type string
case_type_str_l a  case.,case_type_str,Basic Case,Standardized case type string
case_type_str_l i r,case_type_str,Basic Case,Standardized case type string
case_type_str_l.r.dkst.,case_type_str,Basic Case,Standardized case type string
case_type_str_mact,case_type_str,Basic Case,Standardized case type string
case_type_str_lac(appl),case_type_str,Basic Case,Standardized case type string
case_type_str_m r case,case_type_str,Basic Case,Standardized case type string
case_type_str_m.c.,case_type_str,Basic Case,Standardized case type string
case_type_str_m.c.r,case_type_str,Basic Case,Standardized case type string
case_type_str_m.j.cases,case_type_str,Basic Case,Standardized case type string
case_type_str_m.v. act/ r.t.o. challan,case_type_str,Basic Case,Standardized case type string
case_type_str_cr en,case_type_str,Basic Case,Standardized case type string
case_type_str_cr,case_type_str,Basic Case,Standardized case type string
type_name_5370,type_name,Basic Case,Granular case type name identifier
case_type_str_complnt.case,case_type_str,Basic Case,Standardized case type string
type_name_6117,type_name,Basic Case,Granular case type name identifier
type_name_6118,type_name,Basic Case,Granular case type name identifier
type_name_6160,type_name,Basic Case,Granular case type name identifier
type_name_624,type_name,Basic Case,Granular case type name identifier
type_name_6254,type_name,Basic Case,Granular case type name identifier
type_name_6257,type_name,Basic Case,Granular case type name identifier
type_name_6260,type_name,Basic Case,Granular case type name identifier
type_name_6273,type_name,Basic Case,Granular case type name identifier
type_name_6317,type_name,Basic Case,Granular case type name identifier
type_name_6323,type_name,Basic Case,Granular case type name identifier
type_name_6338,type_name,Basic Case,Granular case type name identifier
type_name_636,type_name,Basic Case,Granular case type name identifier
type_name_6437,type_name,Basic Case,Granular case type name identifier
type_name_646,type_name,Basic Case,Granular case type name identifier
type_name_6585,type_name,Basic Case,Granular case type name identifier
type_name_6020,type_name,Basic Case,Granular case type name identifier
type_name_6001,type_name,Basic Case,Granular case type name identifier
type_name_5988,type_name,Basic Case,Granular case type name identifier
type_name_5615,type_name,Basic Case,Granular case type name identifier
type_name_5378,type_name,Basic Case,Granular case type name identifier
type_name_5380,type_name,Basic Case,Granular case type name identifier
type_name_5425,type_name,Basic Case,Granular case type name identifier
type_name_5448,type_name,Basic Case,Granular case type name identifier
type_name_5531,type_name,Basic Case,Granular case type name identifier
type_name_5583,type_name,Basic Case,Granular case type name identifier
type_name_567,type_name,Basic Case,Granular case type name identifier
type_name_5985,type_name,Basic Case,Granular case type name identifier
type_name_5737,type_name,Basic Case,Granular case type name identifier
type_name_577,type_name,Basic Case,Granular case type name identifier
type_name_5800,type_name,Basic Case,Granular case type name identifier
type_name_5858,type_name,Basic Case,Granular case type name identifier
type_name_5933,type_name,Basic Case,Granular case type name identifier
type_name_5936,type_name,Basic Case,Granular case type name identifier
type_name_6653,type_name,Basic Case,Granular case type name identifier
type_name_6655,type_name,Basic Case,Granular case type name identifier
type_name_6676,type_name,Basic Case,Granular case type name identifier
case_type_str_civil regular appeal,case_type_str,Basic Case,Standardized case type string
case_type_str_cases under section 125 cr p c,case_type_str,Basic Case,Standardized case type string
case_type_str_cc,case_type_str,Basic Case,Standardized case type string
case_type_str_cha,case_type_str,Basic Case,Standardized case type string
case_type_str_challan (warrant trial),case_type_str,Basic Case,Standardized case type string
case_type_str_civil misc appliacti,case_type_str,Basic Case,Standardized case type string
case_type_str_civil misc. reg. 74,case_type_str,Basic Case,Standardized case type string
case_type_str_civil reivision,case_type_str,Basic Case,Standardized case type string
case_type_str_c.appln.,case_type_str,Basic Case,Standardized case type string
case_type_str_civil suit,case_type_str,Basic Case,Standardized case type string
case_type_str_cm-41,case_type_str,Basic Case,Standardized case type string
case_type_str_cma,case_type_str,Basic Case,Standardized case type string
case_type_str_cns,case_type_str,Basic Case,Standardized case type string
case_type_str_complain,case_type_str,Basic Case,Standardized case type string
case_type_str_complaint ulp1,case_type_str,Basic Case,Standardized case type string
case_type_str_c.c.,case_type_str,Basic Case,Standardized case type string
case_type_str_bail 439,case_type_str,Basic Case,Standardized case type string
type_name_6704,type_name,Basic Case,Granular case type name identifier
type_name_711,type_name,Basic Case,Granular case type name identifier
type_name_6705,type_name,Basic Case,Granular case type name identifier
type_name_6717,type_name,Basic Case,Granular case type name identifier
type_name_683,type_name,Basic Case,Granular case type name identifier
type_name_6940,type_name,Basic Case,Granular case type name identifier
type_name_6982,type_name,Basic Case,Granular case type name identifier
type_name_7059,type_name,Basic Case,Granular case type name identifier
type_name_758,type_name,Basic Case,Granular case type name identifier
case_type_str_ba,case_type_str,Basic Case,Standardized case type string
type_name_927,type_name,Basic Case,Granular case type name identifier
type_name_929,type_name,Basic Case,Granular case type name identifier
case_type_str_arbitration case,case_type_str,Basic Case,Standardized case type string
case_type_str_as,case_type_str,Basic Case,Standardized case type string
case_type_str_atro.spl.case,case_type_str,Basic Case,Standardized case type string
case_type_str_b a,case_type_str,Basic Case,Standardized case type string
judge_gender_UNKNOWN,judge_gender,Judge,Judge gender
